Country	Age Group	Interest in Politics	Satisfied with Government	Like to Protest	Like work with political parties	Like to boycott	Like to campaign for politician	Feel like have a voice	Democracy Preferred	Otner Preferred
"Congo, Rep."	29-38	1	7	7	8	2	2	8	7	7
Costa Rica	29-38	1	4	6	10	7	7	10	5	8
Côte d'Ivoire	29-38	1	10	9	10	10	9	5	5	10
Croatia	29-38	1	9	6	8	10	1	5	5	7
Cyprus	29-38	1	8	5	5	1	4	10	7	7
Czech Republic	29-38	1	2	8	2	6	7	2	8	3
Denmark	29-38	1	6	4	7	1	10	5	10	10
Djibouti	29-38	1	4	5	8	5	5	2	7	5
Dominican Republic	29-38	1	3	4	6	8	5	6	2	7
Ecuador	29-38	1	8	2	9	1	3	7	1	3
"Egypt, Arab Rep."	29-38	1	1	6	10	4	5	1	6	4
El Salvador	29-38	1	3	4	8	7	7	1	8	3
Estonia	29-38	1	4	9	2	6	5	5	3	6
Ethiopia	29-38	1	8	4	3	10	5	10	6	1
Finland	29-38	1	1	5	9	1	7	7	7	4
France	29-38	1	5	8	8	3	2	1	9	4
Gabon	29-38	1	4	10	3	4	4	10	8	5
Georgia	29-38	1	2	2	9	1	10	2	2	8
Germany	29-38	1	4	10	5	7	7	1	9	7
Ghana	29-38	1	1	9	2	3	9	6	6	6
Greece	29-38	1	4	6	9	5	10	10	1	3
Guatemala	29-38	1	5	3	9	8	9	3	6	4
Guinea	29-38	1	6	7	5	8	4	5	9	8
Haiti	29-38	1	6	3	3	6	3	7	7	8
Honduras	29-38	1	6	9	10	5	1	3	7	7
"Hong Kong SAR, China"	29-38	1	6	7	7	2	4	5	3	6
Hungary	29-38	1	10	4	5	5	7	1	2	5
India	29-38	1	9	6	4	4	9	6	2	10
Indonesia	29-38	1	2	4	10	4	4	3	3	5
"Iran, Islamic Rep."	29-38	1	1	7	10	7	9	7	8	5
Iraq	29-38	1	8	9	10	8	4	9	5	8
Ireland	29-38	1	10	5	1	2	9	6	8	6
Israel	29-38	1	7	5	8	3	9	3	1	2
Italy	29-38	1	7	8	1	10	1	2	3	1
Jamaica	29-38	1	8	4	9	8	4	3	7	10
Japan	29-38	1	10	9	2	4	1	5	10	8
Jordan	29-38	1	10	6	7	8	1	1	1	1
Kazakhstan	29-38	1	8	5	7	9	9	10	4	3
Kenya	29-38	1	7	2	8	5	5	9	9	9
"Korea, Rep."	29-38	1	4	2	8	10	4	2	8	9
Kosovo	29-38	1	1	9	8	5	10	4	10	4
Kuwait	29-38	1	8	3	1	5	5	7	2	7
Kyrgyz Republic	29-38	1	1	3	6	4	1	5	8	9
Lao PDR	29-38	1	6	1	1	2	4	1	3	6
Latvia	29-38	1	3	2	9	9	10	8	7	10
Lebanon	29-38	1	6	9	10	10	10	5	8	5
Lesotho	29-38	1	4	2	9	10	2	9	3	6
Liberia	29-38	1	5	4	7	7	4	4	8	6
Libya	29-38	1	10	6	6	1	7	4	5	6
Lithuania	29-38	1	3	6	4	3	10	7	5	2
Luxembourg	29-38	1	2	1	7	9	5	9	8	3
"Macedonia, FYR"	29-38	1	3	8	1	1	7	2	4	5
Madagascar	29-38	1	2	5	4	8	9	1	5	4
Malawi	29-38	1	3	1	10	9	2	8	3	10
Malaysia	29-38	1	5	2	2	10	2	2	1	1
Mali	29-38	1	7	9	10	3	2	3	3	10
Malta	29-38	1	3	2	7	6	6	7	4	3
Mauritania	29-38	1	4	9	7	1	10	10	5	7
Mauritius	29-38	1	10	9	6	8	3	1	4	4
Mexico	29-38	1	1	8	8	4	9	5	3	4
Moldova	29-38	1	7	4	8	9	7	4	9	10
Mongolia	29-38	1	1	4	5	8	9	2	3	7
Montenegro	29-38	1	2	4	6	2	6	4	8	8
Morocco	29-38	1	8	3	3	5	7	10	5	9
Mozambique	29-38	1	6	1	2	10	6	2	5	5
Myanmar	29-38	1	5	7	2	9	3	4	5	3
Namibia	29-38	1	3	10	8	3	4	8	5	5
Nepal	29-38	1	10	1	2	6	6	8	7	7
Netherlands	29-38	1	9	6	2	2	5	2	6	2
New Zealand	29-38	1	9	4	3	7	6	8	6	5
Nicaragua	29-38	1	3	7	10	1	10	1	2	4
Niger	29-38	1	10	5	10	7	10	2	9	7
Nigeria	29-38	1	9	2	8	5	5	2	2	4
Norway	29-38	1	2	1	5	3	5	5	1	4
Oman	29-38	1	4	5	3	2	3	7	3	2
Pakistan	29-38	1	1	1	6	3	6	7	8	8
Panama	29-38	1	5	8	3	7	2	3	1	4
Paraguay	29-38	1	9	8	2	9	8	10	1	6
Peru	29-38	1	4	8	6	8	1	5	10	5
Philippines	29-38	1	7	6	9	6	6	5	5	8
Poland	29-38	1	10	3	5	9	4	8	1	3
Portugal	29-38	1	7	9	7	8	10	10	9	4
Puerto Rico	29-38	1	4	5	9	4	6	4	3	4
Qatar	29-38	1	2	5	9	5	2	2	3	7
Romania	29-38	1	9	2	2	1	5	8	6	5
Russian Federation	29-38	1	1	2	7	6	3	2	3	2
Rwanda	29-38	1	10	10	4	3	1	6	3	2
Saudi Arabia	29-38	1	3	5	5	2	8	3	9	1
Senegal	29-38	1	9	7	8	1	4	6	4	3
Serbia	29-38	1	1	6	9	2	2	4	2	5
Sierra Leone	29-38	1	1	6	7	8	9	3	6	5
Singapore	29-38	1	9	4	4	10	10	10	1	7
Slovak Republic	29-38	1	9	6	6	3	6	10	7	7
Slovenia	29-38	1	10	10	5	5	1	2	9	3
Somalia	29-38	1	7	3	5	2	6	7	7	8
South Africa	29-38	1	4	5	4	4	2	4	7	10
South Sudan	29-38	1	3	5	9	10	7	10	4	9
Spain	29-38	1	3	8	8	3	7	6	1	10
Sri Lanka	29-38	1	3	9	7	10	8	8	2	10
Sudan	29-38	1	8	9	5	3	10	10	6	9
Swaziland	29-38	1	1	7	3	3	9	7	9	6
Sweden	29-38	1	3	3	2	4	9	5	1	1
Switzerland	29-38	1	7	6	7	7	3	6	3	6
Syrian Arab Republic	29-38	1	3	5	1	4	5	5	2	4
Tajikistan	29-38	1	2	2	3	1	6	3	1	4
Tanzania	29-38	1	5	4	9	5	3	7	6	2
Thailand	29-38	1	6	2	1	4	7	6	5	9
Togo	29-38	1	9	4	3	6	1	1	2	1
Trinidad and Tobago	29-38	1	6	2	7	5	2	10	7	4
Tunisia	29-38	1	1	9	6	6	1	1	4	1
Turkey	29-38	1	1	3	10	1	3	8	2	1
Turkmenistan	29-38	1	3	8	5	2	7	6	6	1
Uganda	29-38	1	9	9	6	3	3	4	5	3
Ukraine	29-38	1	1	8	4	5	2	7	4	4
United Arab Emirates	29-38	1	10	9	9	3	10	1	4	10
United Kingdom	29-38	1	1	3	5	7	5	6	8	10
United States	29-38	1	6	10	8	3	10	5	2	1
Uruguay	29-38	1	1	2	5	8	5	7	4	7
Uzbekistan	29-38	1	8	8	5	2	6	2	4	7
"Venezuela, RB"	29-38	1	8	1	8	3	2	8	9	3
Vietnam	29-38	1	6	6	2	3	1	5	2	10
West Bank and Gaza	29-38	1	3	2	2	2	1	8	7	1
"Yemen, Rep."	29-38	1	7	8	1	10	4	1	9	6
Zambia	29-38	1	4	3	9	1	6	6	3	3
Zimbabwe	29-38	1	4	9	3	1	3	8	5	4
"Taiwan, China"	29-38	1	9	9	4	6	8	7	6	6
Afghanistan	39+	1	4	3	10	9	7	6	5	6
Albania	39+	1	2	8	10	9	8	7	1	4
Algeria	39+	1	5	9	1	8	6	8	5	6
Angola	39+	1	2	10	6	3	1	8	8	8
Argentina	39+	1	3	2	2	8	9	9	10	3
Armenia	39+	1	3	6	6	7	5	1	4	5
Australia	39+	1	1	9	8	7	6	9	3	1
Austria	39+	1	10	8	4	2	9	3	10	3
Azerbaijan	39+	1	3	2	7	6	5	7	6	2
Bahrain	39+	1	3	5	7	1	7	3	7	6
Bangladesh	39+	1	1	8	10	8	1	1	6	3
Belarus	39+	1	5	6	1	9	2	4	3	10
Belgium	39+	1	9	8	8	1	1	10	2	7
Belize	39+	1	4	5	5	6	3	8	7	2
Benin	39+	1	4	1	8	4	2	8	5	2
Bhutan	39+	1	7	2	6	2	7	9	1	9
Bolivia	39+	1	9	2	9	1	8	3	8	10
Bosnia and Herzegovina	39+	1	10	6	5	9	9	4	6	1
Botswana	39+	1	6	9	7	7	8	3	9	10
Brazil	39+	1	7	1	9	3	7	4	3	1
Bulgaria	39+	1	2	2	1	2	3	10	3	7
Burkina Faso	39+	1	8	7	8	3	9	8	4	1
Burundi	39+	1	8	3	4	8	8	8	9	4
Cambodia	39+	1	5	5	4	8	5	3	10	9
Cameroon	39+	1	1	8	7	2	7	9	3	8
Canada	39+	1	9	3	4	9	3	5	1	2
Central African Republic	39+	1	5	8	8	3	2	10	3	10
Chad	39+	1	7	6	5	6	10	1	3	7
Chile	39+	1	10	10	9	2	1	10	5	5
China	39+	1	5	5	5	5	8	10	2	5
Colombia	39+	1	9	10	10	3	9	3	2	1
Comoros	39+	1	9	2	1	8	3	7	1	9
"Congo, Dem. Rep."	39+	1	3	8	6	1	9	8	10	8
"Congo, Rep."	39+	1	6	2	7	1	1	8	4	10
Costa Rica	39+	1	9	1	9	3	8	2	3	3
Côte d'Ivoire	39+	1	1	1	4	9	7	3	4	1
Croatia	39+	1	9	3	7	3	6	2	2	7
Cyprus	39+	1	2	9	2	5	10	1	1	6
Czech Republic	39+	1	8	4	1	5	7	1	3	4
Denmark	39+	1	8	3	6	4	3	3	8	5
Djibouti	39+	1	1	4	6	10	6	7	10	1
Dominican Republic	39+	1	4	4	1	8	5	8	10	1
Ecuador	39+	1	10	8	4	6	1	3	7	1
"Egypt, Arab Rep."	39+	1	4	8	1	9	5	5	6	7
El Salvador	39+	1	10	5	2	6	1	10	9	9
Estonia	39+	1	9	7	2	4	9	8	1	10
Ethiopia	39+	1	1	7	7	1	9	10	7	8
Finland	39+	1	9	9	2	8	4	3	1	1
France	39+	1	8	2	7	6	8	3	1	2
Gabon	39+	1	8	2	6	3	5	3	1	10
Georgia	39+	1	5	6	10	3	5	9	10	2
Germany	39+	1	5	9	5	5	10	5	9	6
Ghana	39+	1	9	1	8	8	3	9	5	3
Greece	39+	1	2	8	3	9	10	9	3	1
Guatemala	39+	1	5	1	2	2	5	4	4	7
Guinea	39+	1	7	9	7	9	5	2	6	8
Haiti	39+	1	5	8	3	3	5	8	6	3
Honduras	39+	1	7	4	3	5	5	7	4	8
"Hong Kong SAR, China"	39+	1	10	9	9	8	9	2	10	1
Hungary	39+	1	10	5	9	2	8	3	2	10
India	39+	1	8	4	8	8	1	10	1	4
Indonesia	39+	1	8	10	4	9	10	4	10	8
"Iran, Islamic Rep."	39+	1	6	4	2	7	6	6	1	9
Iraq	39+	1	1	1	8	4	1	6	5	10
Ireland	39+	1	2	1	9	2	4	6	7	1
Israel	39+	1	7	9	7	5	5	2	2	1
Italy	39+	1	5	10	10	1	6	1	9	7
Jamaica	39+	1	1	5	4	6	8	10	10	6
Japan	39+	1	4	5	5	3	4	3	7	4
Jordan	39+	1	9	3	6	10	7	1	10	6
Kazakhstan	39+	1	6	3	1	1	10	6	1	8
Kenya	39+	1	5	5	5	9	4	3	5	8
"Korea, Rep."	39+	1	2	2	4	1	7	9	3	9
Kosovo	39+	1	2	1	3	1	10	7	6	3
Kuwait	39+	1	1	1	1	3	3	7	5	6
Kyrgyz Republic	39+	1	8	6	9	3	5	4	3	9
Lao PDR	39+	1	7	4	8	10	9	2	3	2
Latvia	39+	1	2	7	4	5	2	10	5	6
Lebanon	39+	1	6	9	10	10	8	4	5	6
Lesotho	39+	1	3	10	9	5	5	8	1	6
Liberia	39+	1	10	5	1	3	7	10	4	2
Libya	39+	1	10	8	8	3	7	2	9	3
Lithuania	39+	1	9	5	6	1	6	10	1	1
Luxembourg	39+	1	9	10	8	7	3	5	7	5
"Macedonia, FYR"	39+	1	10	2	8	7	10	1	1	6
Madagascar	39+	1	10	2	3	1	7	10	9	7
Malawi	39+	1	7	2	3	4	3	10	2	5
Malaysia	39+	1	1	2	8	9	7	10	4	4
Mali	39+	1	8	2	5	4	10	1	4	5
Malta	39+	1	1	5	8	3	10	3	10	5
Mauritania	39+	1	7	7	10	1	1	10	7	10
Mauritius	39+	1	1	7	7	4	3	6	10	10
Mexico	39+	1	2	3	6	4	1	9	8	4
Moldova	39+	1	5	9	10	2	6	6	6	8
Mongolia	39+	1	5	9	3	2	6	10	7	7
Montenegro	39+	1	9	1	10	3	8	2	6	4
Morocco	39+	1	1	4	6	1	4	3	2	3
Mozambique	39+	1	9	1	8	5	9	6	8	8
Myanmar	39+	1	6	2	2	2	2	2	7	6
Namibia	39+	1	6	10	9	6	9	1	3	4
Nepal	39+	1	9	5	9	7	5	5	6	2
Netherlands	39+	1	4	6	10	7	3	6	9	1
New Zealand	39+	1	9	7	10	5	10	10	3	1
Nicaragua	39+	1	9	10	5	10	8	1	8	6
Niger	39+	1	9	7	4	1	6	2	10	4
Nigeria	39+	1	5	7	6	4	7	4	8	5
Norway	39+	1	4	9	5	3	2	8	4	10
Oman	39+	1	4	7	2	8	6	7	6	1
Pakistan	39+	1	6	3	3	3	6	3	2	9
Panama	39+	1	5	4	7	6	6	9	9	7
Paraguay	39+	1	8	1	9	10	3	6	10	5
Peru	39+	1	8	4	6	2	9	2	8	2
Philippines	39+	1	3	4	1	8	7	3	3	5
Poland	39+	1	10	8	1	7	7	5	7	7
Portugal	39+	1	4	10	5	8	4	1	1	6
Puerto Rico	39+	1	2	1	6	5	2	2	4	1
Qatar	39+	1	6	1	5	5	4	10	8	7
Romania	39+	1	5	5	2	7	10	7	8	3
Russian Federation	39+	1	6	5	1	9	5	2	10	6
Rwanda	39+	1	3	2	4	8	7	7	6	3
Saudi Arabia	39+	1	3	5	10	2	9	5	1	8
Senegal	39+	1	9	1	7	5	7	7	10	6
Serbia	39+	1	3	1	2	1	3	6	1	7
Sierra Leone	39+	1	1	9	4	6	9	6	6	3
Singapore	39+	1	3	1	6	8	6	10	8	5
Slovak Republic	39+	1	4	4	8	3	1	2	8	1
Slovenia	39+	1	7	1	6	4	3	8	2	10
Somalia	39+	1	7	7	6	8	8	10	6	5
South Africa	39+	1	1	10	6	8	6	10	9	7
South Sudan	39+	1	4	1	8	9	6	10	7	2
Spain	39+	1	9	7	3	9	5	4	8	7
Sri Lanka	39+	1	4	3	1	4	7	8	10	4
Sudan	39+	1	3	6	9	10	5	2	5	4
Swaziland	39+	1	5	9	1	1	9	1	6	4
Sweden	39+	1	6	7	2	5	8	3	5	9
Switzerland	39+	1	1	4	5	7	3	5	9	8
Syrian Arab Republic	39+	1	8	6	5	1	2	2	7	3
Tajikistan	39+	1	2	3	10	8	2	9	4	6
Tanzania	39+	1	10	10	1	1	7	9	6	9
Thailand	39+	1	7	6	8	2	6	7	5	5
Togo	39+	1	5	1	1	8	8	1	2	6
Trinidad and Tobago	39+	1	4	7	5	8	10	6	3	7
Tunisia	39+	1	8	2	6	6	3	6	2	10
Turkey	39+	1	7	1	1	3	4	4	10	10
Turkmenistan	39+	1	7	10	9	6	2	9	2	9
Uganda	39+	1	7	9	7	6	2	5	5	4
Ukraine	39+	1	1	2	3	9	3	7	8	7
United Arab Emirates	39+	1	8	8	8	5	3	3	4	9
United Kingdom	39+	1	7	5	2	5	8	3	6	4
United States	39+	1	5	7	2	2	8	10	9	4
Uruguay	39+	1	9	5	2	3	9	7	8	4
Uzbekistan	39+	1	7	7	5	6	7	9	3	6
"Venezuela, RB"	39+	1	5	8	9	9	10	3	9	10
Vietnam	39+	1	1	9	10	4	8	3	7	10
West Bank and Gaza	39+	1	2	9	2	8	8	2	5	1
"Yemen, Rep."	39+	1	5	1	7	6	3	5	6	5
Zambia	39+	1	10	1	2	8	9	2	3	3
Zimbabwe	39+	1	2	4	8	9	4	2	1	8
"Taiwan, China"	39+	1	2	2	9	7	4	2	8	5
Afghanistan	Uner 29	5	2	9	5	10	6	8	2	1
Albania	Uner 29	5	8	4	5	7	2	8	10	3
Algeria	Uner 29	5	5	2	5	8	3	4	10	1
Angola	Uner 29	5	2	8	8	8	10	6	10	10
Argentina	Uner 29	5	1	5	8	3	4	3	4	4
Armenia	Uner 29	5	6	4	3	7	6	2	6	4
Australia	Uner 29	5	3	4	7	5	7	10	1	2
Austria	Uner 29	5	5	2	3	5	7	10	3	2
Azerbaijan	Uner 29	5	4	6	5	8	1	4	3	2
Bahrain	Uner 29	5	5	6	4	1	7	8	8	7
Bangladesh	Uner 29	5	4	6	2	6	8	8	9	9
Belarus	Uner 29	5	4	9	4	5	10	8	9	6
Belgium	Uner 29	5	6	6	2	7	1	10	3	3
Belize	Uner 29	5	2	3	9	1	7	9	5	7
Benin	Uner 29	5	8	3	8	2	1	7	3	4
